uid,iid,rating
252,1,4.0
934,1,5.0
1195,1,4.0
772,1,5.0
1599,1,5.0
823,1,5.0
379,2,5.0
361,2,5.0
682,2,5.0
28,2,4.0
742,2,4.0
655,3,5.0
1617,3,5.0
433,3,5.0
359,3,5.0
1195,3,5.0
977,3,5.0
532,3,5.0
1598,3,5.0
1069,4,4.0
870,4,5.0
997,4,5.0
1684,4,5.0
678,4,5.0
624,4,4.0
1468,4,5.0
593,4,5.0
763,4,2.0
899,5,4.0
265,5,4.0
1656,5,3.0
176,5,4.0
161,5,3.0
197,5,2.0
1628,5,5.0
1263,5,5.0
819,5,5.0
501,6,3.0
839,6,5.0
893,6,5.0
1347,6,5.0
1559,6,5.0
1625,6,1.0
76,6,5.0
853,6,1.0
332,6,5.0
133,6,4.0
824,7,5.0
740,7,5.0
49,7,3.0
1576,7,5.0
256,7,5.0
1192,7,5.0
88,7,5.0
899,8,5.0
731,8,5.0
374,8,5.0
1403,8,5.0
1652,8,4.0
1324,8,5.0
343,8,5.0
1298,8,5.0
219,8,5.0
1219,8,5.0
439,8,5.0
441,9,5.0
1209,9,5.0
1090,9,5.0
399,9,5.0
516,9,5.0
652,9,5.0
1477,10,4.0
604,10,5.0
1643,10,4.0
441,10,5.0
442,10,5.0
910,10,5.0
733,10,5.0
217,10,5.0
11,10,5.0
939,10,5.0
707,10,5.0
1500,10,5.0
81,10,5.0
686,10,4.0
571,10,5.0
1046,10,4.0
667,10,5.0
1164,10,4.0
176,10,5.0
1174,10,5.0
1549,10,3.0
1360,10,5.0
499,10,5.0
547,10,4.0
1253,10,5.0
293,10,5.0
638,10,5.0
4,11,5.0
1112,11,5.0
803,11,4.0
703,11,4.0
1583,11,5.0
970,11,3.0
796,11,3.0
521,11,5.0
1327,11,3.0
1310,11,5.0
1075,11,5.0
1083,11,4.0
1400,11,5.0
1283,11,1.0
77,11,5.0
996,11,1.0
823,11,4.0
737,11,5.0
734,11,4.0
905,11,3.0
776,11,4.0
368,11,4.0
544,11,5.0
1474,11,3.0
171,11,2.0
472,11,5.0
998,11,5.0
1146,11,5.0
307,11,4.0
714,11,5.0
928,11,3.0
447,11,3.0
298,11,4.0
60,11,5.0
69,11,5.0
133,11,3.0
933,12,4.0
1599,12,5.0
1684,12,3.0
76,12,5.0
1121,12,3.0
292,13,5.0
1075,13,5.0
870,13,5.0
535,13,5.0
1311,13,5.0
704,13,5.0
1565,13,5.0
1535,13,2.0
378,14,5.0
127,14,3.0
682,14,4.0
1627,14,3.0
1542,14,4.0
1575,14,5.0
298,14,3.0
316,15,5.0
1122,15,5.0
930,15,4.0
797,15,2.0
1628,15,4.0
1520,16,1.0
217,16,2.0
899,16,3.0
1656,16,5.0
334,16,4.0
1215,16,5.0
907,16,5.0
111,16,5.0
325,16,2.0
977,16,4.0
797,16,2.0
417,16,1.0
842,16,4.0
608,16,5.0
343,16,5.0
1514,16,4.0
67,16,5.0
95,16,4.0
1026,16,3.0
1604,16,5.0
906,17,5.0
158,17,2.0
781,17,2.0
1007,17,5.0
109,17,4.0
306,18,3.0
906,18,3.0
1260,18,5.0
23,18,5.0
37,18,1.0
385,19,5.0
21,19,4.0
1479,19,3.0
1031,19,5.0
708,19,5.0
803,20,3.0
665,20,5.0
1499,20,3.0
66,20,4.0
981,20,3.0
1339,20,5.0
657,20,4.0
217,21,5.0
361,21,5.0
260,21,5.0
404,21,5.0
853,21,5.0
428,21,5.0
809,22,5.0
863,22,5.0
1254,22,5.0
507,22,5.0
69,22,5.0
1611,23,4.0
987,23,5.0
966,23,5.0
978,23,3.0
480,23,5.0
570,23,5.0
1540,23,3.0
1349,23,5.0
1009,23,5.0
27,23,5.0
795,23,2.0
627,23,2.0
1648,23,5.0
236,23,3.0
1610,23,3.0
133,23,3.0
1222,24,5.0
47,24,4.0
1079,24,3.0
1009,24,4.0
1683,24,3.0
93,24,5.0
1562,25,5.0
1216,25,5.0
326,25,5.0
916,25,4.0
1524,25,5.0
1459,25,5.0
604,26,4.0
809,26,5.0
934,26,5.0
124,26,5.0
681,26,2.0
181,26,5.0
1091,26,1.0
273,26,5.0
289,26,4.0
213,26,4.0
649,26,5.0
458,26,5.0
1166,27,4.0
1469,27,4.0
1109,27,5.0
1271,27,5.0
645,27,4.0
1049,27,5.0
1619,28,5.0
748,28,5.0
128,28,5.0
203,28,5.0
40,28,5.0
435,29,5.0
1569,29,5.0
808,29,4.0
1086,29,4.0
895,29,5.0
1634,29,5.0
1049,29,4.0
1277,29,5.0
1159,29,5.0
102,29,3.0
1055,29,5.0
1001,30,5.0
156,30,5.0
1337,30,5.0
1263,30,5.0
1136,30,5.0
1224,30,5.0
